0x80000000:jal    zero,0x00050        pc=0x800000a0,zero=0x80000004
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000132]=0x0000006c
0x800000bc:beq    t0,zero,0x008       (0x0000006c==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x6c
0x800000c4:addi   a1,a1,0x001         a1=0x80000132+0x00000001=0x80000133
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000133]=0x0000006c
0x800000bc:beq    t0,zero,0x008       (0x0000006c==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x6c
0x800000c4:addi   a1,a1,0x001         a1=0x80000133+0x00000001=0x80000134
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000134]=0x0000006f
0x800000bc:beq    t0,zero,0x008       (0x0000006f==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x6f
0x800000c4:addi   a1,a1,0x001         a1=0x80000134+0x00000001=0x80000135
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000135]=0x00000020
0x800000bc:beq    t0,zero,0x008       (0x00000020==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x20
0x800000c4:addi   a1,a1,0x001         a1=0x80000135+0x00000001=0x80000136
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000136]=0x00000077
0x800000bc:beq    t0,zero,0x008       (0x00000077==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x77
0x800000c4:addi   a1,a1,0x001         a1=0x80000136+0x00000001=0x80000137
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000137]=0x0000006f
0x800000bc:beq    t0,zero,0x008       (0x0000006f==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x6f
0x800000c4:addi   a1,a1,0x001         a1=0x80000137+0x00000001=0x80000138
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000138]=0x00000072
0x800000bc:beq    t0,zero,0x008       (0x00000072==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x72
0x800000c4:addi   a1,a1,0x001         a1=0x80000138+0x00000001=0x80000139
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x80000139]=0x0000006c
0x800000bc:beq    t0,zero,0x008       (0x0000006c==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x6c
0x800000c4:addi   a1,a1,0x001         a1=0x80000139+0x00000001=0x8000013a
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x8000013a]=0x00000064
0x800000bc:beq    t0,zero,0x008       (0x00000064==0x00000000)=0->pc=0x800000c0
0x800000c0:sb     t0,0x000(a0)        mem[0x10000000]=0x64
0x800000c4:addi   a1,a1,0x001         a1=0x8000013a+0x00000001=0x8000013b
0x800000c8:jal    zero,0xffff8        pc=0x800000b8,zero=0x800000cc
0x800000b8:lb     t0,0x000(a1)        t0=mem[0x8000013b]=0x00000021
